winner,loser,weight
Miami (OH),Akron,18.0
Michigan,Michigan State,22.0
Middle Tennessee State,Texas-El Paso,11.0
Minnesota,Rutgers,31.0
Mississippi,Texas A&M,3.0
Missouri,South Carolina,13.0
Navy,Temple,7.0
New Mexico State,Massachusetts,10.0
North Carolina,Pittsburgh,18.0
North Texas,Western Kentucky,27.0
Notre Dame,Syracuse,17.0
Ohio State,Penn State,13.0
Oklahoma,Iowa State,14.0
Oregon,California,18.0
San Jose State,Nevada,7.0
South Alabama,Arkansas State,28.0
Southern California,Arizona,8.0
Southern Methodist,Tulsa,11.0
Tennessee,Kentucky,38.0
Texas Christian,West Virginia,10.0
Toledo,Eastern Michigan,3.0
UCLA,Stanford,25.0
Wyoming,Hawaii,7.0
Ball State,Kent State,7.0
Ohio,Buffalo,21.0
Bowling Green,Western Michigan,4.0
Central Michigan,Northern Illinois,13.0
Coastal Carolina,Appalachian State,7.0
Rice,Texas-El Paso,7.0
Connecticut,Massachusetts,17.0
Duke,Boston College,7.0
Washington,Oregon State,3.0
Air Force,Army,6.0
Baylor,Oklahoma,3.0
Brigham Young,Boise State,3.0
Central Florida,Memphis,7.0
Cincinnati,Navy,10.0
Florida,Texas A&M,17.0
Florida State,Miami (FL),42.0
Fresno State,Hawaii,42.0
Georgia,Tennessee,14.0
Georgia State,Southern Mississippi,28.0
Georgia Tech,Virginia Tech,1.0
Iowa,Purdue,21.0
Iowa State,West Virginia,17.0
Kansas,Oklahoma State,21.0
Kentucky,Missouri,4.0
Liberty,Arkansas,2.0
Louisiana State,Alabama,1.0
Louisiana Tech,Middle Tennessee State,16.0
Louisiana-Monroe,Texas State,1.0
Louisville,James Madison,24.0
Marshall,Old Dominion,12.0
Michigan,Rutgers,35.0
Michigan State,Illinois,8.0
Minnesota,Nebraska,7.0
Mississippi State,Auburn,6.0
North Carolina,Virginia,3.0
North Carolina State,Wake Forest,9.0
North Texas,Florida International,38.0
Notre Dame,Clemson,21.0
Ohio State,Northwestern,14.0
Oregon,Colorado,39.0
Penn State,Indiana,31.0
Pittsburgh,Syracuse,10.0
San Diego State,Nevada-Las Vegas,4.0
San Jose State,Colorado State,12.0
South Alabama,Georgia Southern,7.0
South Carolina,Vanderbilt,11.0
Southern California,California,6.0
Southern Methodist,Houston,14.0
Temple,South Florida,26.0
Texas,Kansas State,7.0
Texas Christian,Texas Tech,10.0
Texas-San Antonio,Alabama-Birmingham,6.0
Troy,Louisiana,6.0
Tulane,Tulsa,14.0
UCLA,Arizona State,14.0
Utah,Arizona,25.0
Utah State,New Mexico,17.0
Washington State,Stanford,38.0
Western Kentucky,Charlotte,52.0
Wisconsin,Maryland,13.0
Eastern Michigan,Akron,6.0
Ohio,Miami (OH),16.0
Toledo,Ball State,7.0
Central Michigan,Buffalo,4.0
Kent State,Bowling Green,34.0
Northern Illinois,Western Michigan,3.0
Louisiana,Georgia Southern,19.0
Memphis,Tulsa,16.0
Cincinnati,East Carolina,2.0
Fresno State,Nevada-Las Vegas,7.0
Southern California,Colorado,38.0
Air Force,New Mexico,32.0
Alabama,Mississippi,6.0
Alabama-Birmingham,North Texas,20.0
Arizona,UCLA,6.0
Arkansas State,Massachusetts,2.0
Auburn,Texas A&M,3.0
Boise State,Nevada,38.0
Boston College,North Carolina State,1.0
Central Florida,Tulane,7.0
Clemson,Louisville,15.0
Coastal Carolina,Southern Mississippi,3.0
Connecticut,Liberty,3.0
Duke,Virginia Tech,17.0
Florida,South Carolina,32.0
Florida Atlantic,Florida International,45.0
Florida State,Syracuse,35.0
Georgia,Mississippi State,26.0
Houston,Temple,7.0
Iowa,Wisconsin,14.0
James Madison,Old Dominion,34.0
Kansas State,Baylor,28.0
Louisiana State,Arkansas,3.0
Louisiana-Monroe,Georgia State,3.0
Marshall,Appalachian State,7.0
Miami (FL),Georgia Tech,21.0
Michigan,Nebraska,31.0
Michigan State,Rutgers,6.0
Middle Tennessee State,Charlotte,10.0
Minnesota,Northwestern,28.0
New Mexico State,Lamar,37.0
North Carolina,Wake Forest,2.0
Notre Dame,Navy,3.0
Ohio State,Indiana,42.0
Oklahoma State,Iowa State,6.0
Oregon State,California,28.0
Penn State,Maryland,30.0
Pittsburgh,Virginia,30.0
Purdue,Illinois,7.0
San Diego State,San Jose State,16.0
South Alabama,Texas State,17.0
Southern Methodist,South Florida,18.0
Tennessee,Missouri,42.0
Texas Christian,Texas,7.0
Texas Tech,Kansas,15.0
Texas-San Antonio,Louisiana Tech,44.0
Troy,Army,1.0
Utah,Stanford,35.0
Utah State,Hawaii,7.0
Vanderbilt,Kentucky,3.0
Washington,Oregon,3.0
Washington State,Arizona State,10.0
West Virginia,Oklahoma,3.0
Western Kentucky,Rice,35.0
Wyoming,Colorado State,1.0
Bowling Green,Toledo,7.0
Ohio,Ball State,14.0
Eastern Michigan,Kent State,7.0
Miami (OH),Northern Illinois,6.0
Western Michigan,Central Michigan,2.0
Tulane,Southern Methodist,35.0
San Diego State,New Mexico,24.0
Tulsa,South Florida,6.0
Air Force,Colorado State,12.0
Alabama,Austin Peay,34.0
Appalachian State,Old Dominion,13.0
Arkansas,Mississippi,15.0
Army,Connecticut,17.0
Auburn,Western Kentucky,24.0
Boise State,Wyoming,3.0
Brigham Young,Utah Tech,26.0
California,Stanford,7.0
Charlotte,Louisiana Tech,5.0
Cincinnati,Temple,20.0
Clemson,Miami (FL),30.0
Coastal Carolina,Virginia,0.0
Florida State,Louisiana,32.0
Fresno State,Nevada,27.0
Georgia,Kentucky,10.0
Georgia Tech,North Carolina,4.0
Hawaii,Nevada-Las Vegas,6.0
Houston,East Carolina,39.0
Indiana,Michigan State,8.0
Iowa,Minnesota,3.0
James Madison,Georgia State,2.0
Kansas State,West Virginia,17.0
Louisiana State,Alabama-Birmingham,31.0
Louisville,North Carolina State,15.0
Marshall,Georgia Southern,13.0
Memphis,North Alabama,59.0
Michigan,Illinois,2.0
Middle Tennessee State,Florida Atlantic,28.0
Mississippi State,East Tennessee State,49.0
Missouri,New Mexico State,31.0
Navy,Central Florida,3.0
Notre Dame,Boston College,44.0
Ohio State,Maryland,13.0
Oklahoma,Oklahoma State,15.0
Oregon,Utah,3.0
Oregon State,Arizona State,24.0
Penn State,Rutgers,45.0
Pittsburgh,Duke,2.0
Purdue,Northwestern,8.0
South Alabama,Southern Mississippi,7.0
South Carolina,Tennessee,25.0
Southern California,UCLA,3.0
Texas,Kansas,41.0
Texas A&M,Massachusetts,17.0
Texas Christian,Baylor,1.0
Texas State,Arkansas State,3.0
Texas Tech,Iowa State,4.0
Texas-El Paso,Florida International,34.0
Texas-San Antonio,Rice,34.0
Troy,Louisiana-Monroe,18.0
Utah State,San Jose State,4.0
Vanderbilt,Florida,7.0
Virginia Tech,Liberty,1.0
Wake Forest,Syracuse,10.0
Washington,Colorado,47.0
Washington State,Arizona,11.0
Wisconsin,Nebraska,1.0
Miami (OH),Ball State,1.0
Ohio,Bowling Green,24.0
Mississippi State,Mississippi,2.0
Arizona,Arizona State,3.0
Boise State,Utah State,19.0
Colorado State,New Mexico,17.0
Eastern Michigan,Central Michigan,19.0
Florida State,Florida,7.0
Fresno State,Wyoming,30.0
Missouri,Arkansas,2.0
Nebraska,Iowa,7.0
North Carolina State,North Carolina,3.0
Texas,Baylor,11.0
Tulane,Cincinnati,3.0
UCLA,California,7.0
Western Michigan,Toledo,6.0
Air Force,San Diego State,10.0
Akron,Northern Illinois,32.0
Alabama,Auburn,22.0
Alabama-Birmingham,Louisiana Tech,10.0
Army,Massachusetts,37.0
Brigham Young,Stanford,9.0
Central Florida,South Florida,7.0
Duke,Wake Forest,3.0
East Carolina,Temple,3.0
Georgia,Georgia Tech,23.0
Georgia Southern,Appalachian State,3.0
Illinois,Northwestern,38.0
James Madison,Coastal Carolina,40.0
Kansas State,Kansas,20.0
Kent State,Buffalo,3.0
Kentucky,Louisville,13.0
Louisiana,Texas State,28.0
Marshall,Georgia State,5.0
Maryland,Rutgers,37.0
Michigan,Ohio State,22.0
Middle Tennessee State,Florida International,5.0
Minnesota,Wisconsin,7.0
Nevada-Las Vegas,Nevada,5.0
New Mexico State,Liberty,35.0
North Texas,Rice,4.0
Oregon State,Oregon,4.0
Penn State,Michigan State,19.0
Pittsburgh,Miami (FL),26.0
Purdue,Indiana,14.0
San Jose State,Hawaii,13.0
South Alabama,Old Dominion,7.0
South Carolina,Clemson,1.0
Southern California,Notre Dame,11.0
Southern Methodist,Memphis,3.0
Southern Mississippi,Louisiana-Monroe,10.0
Syracuse,Boston College,9.0
Tennessee,Vanderbilt,56.0
Texas A&M,Louisiana State,15.0
Texas Christian,Iowa State,48.0
Texas Tech,Oklahoma,3.0
Texas-San Antonio,Texas-El Paso,3.0
Troy,Arkansas State,29.0
Tulsa,Houston,7.0
Utah,Colorado,42.0
Virginia,Virginia Tech,0.0
Washington,Washington State,18.0
West Virginia,Oklahoma State,5.0
Western Kentucky,Florida Atlantic,1.0
